Room_Capacity,Module,Registered_Students,Hour,Date,Room,Occupancy,Avg_Count_60min,Avg_Count_30min,Avg_Adj_Count_60min,Avg_Adj_Count_30min
90,COMP47290,0.0,16,2015-11-12,B003,0.0,12.416666666666666,14.666666666666666,0.13796296296296298,0.16296296296296295
90,COMP20020,45.0,9,2015-11-13,B003,0.5,22.0,22.666666666666668,0.24444444444444438,0.2518518518518518
90,COMP20020,45.0,10,2015-11-13,B003,0.5,28.363636363636363,28.0,0.3151515151515152,0.31111111111111106
90,COMP47290,0.0,11,2015-11-13,B003,0.25,20.363636363636363,20.166666666666668,0.2262626262626263,0.22407407407407406
90,COMP47290,0.0,12,2015-11-13,B003,0.25,25.333333333333332,27.0,0.28148148148148144,0.3
90,Vacant,-1.0,13,2015-11-13,B003,0.0,17.333333333333332,16.0,0.19259259259259257,0.17777777777777776
90,COMP30080,65.0,14,2015-11-13,B003,0.5,44.916666666666664,46.5,0.499074074074074,0.5166666666666667
90,COMP30080,65.0,15,2015-11-13,B003,0.25,37.083333333333336,40.333333333333336,0.412037037037037,0.44814814814814813
90,Vacant,-1.0,16,2015-11-13,B003,0.25,16.25,16.666666666666668,0.18055555555555558,0.1851851851851852
220,COMP41450 & COMP30120,143.0,9,2015-11-03,B004,0.75,102.25,123.16666666666667,0.4647727272727273,0.5598484848484849
220,COMP10130,112.0,10,2015-11-03,B004,0.5,96.9090909090909,102.83333333333333,0.44049586776859506,0.46742424242424246
220,COMP20070,107.0,11,2015-11-03,B004,0.5,56.45454545454545,65.5,0.2566115702479339,0.29772727272727273
220,COMP30080,139.0,12,2015-11-03,B004,0.5,100.75,111.0,0.45795454545454534,0.5045454545454546
220,COMP20110,103.0,13,2015-11-03,B004,0.5,49.666666666666664,55.166666666666664,0.2257575757575758,0.25075757575757573
220,STAT40150,0.0,14,2015-11-03,B004,0.25,73.81818181818181,75.66666666666667,0.33553719008264465,0.34393939393939393
220,COMP20010,108.0,15,2015-11-03,B004,0.25,57.72727272727273,58.8,0.26239669421487605,0.2672727272727273
220,Vacant,-1.0,16,2015-11-03,B004,0.0,5.583333333333333,6.2,0.02537878787878788,0.02818181818181818
